11:54:09.444 > ets Jul 29 2019 12:21:46
11:54:09.447 > 
11:54:09.447 > rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)
11:54:09.451 > configsip: 0, SPIWP:0xee
11:54:09.454 > clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00
11:54:09.460 > mode:DIO, clock div:2
11:54:09.463 > load:0x3fff0030,len:1184
11:54:09.465 > load:0x40078000,len:13232
11:54:09.467 > load:0x40080400,len:3028
11:54:09.469 > entry 0x400805e4
11:54:10.609 > Presence,Fall_State,Distance_dm,Intensity,Breath_Rate,Heart_Rate,Raw_Hex
11:55:10.545 > 2,50,0,0,0,0,53 59 80 03 00 01 02 32 54 43 
11:55:11.537 > 18,66,0,0,0,0,53 59 80 03 00 01 12 42 54 43 
11:55:12.532 > 9,57,0,0,0,0,53 59 80 03 00 01 09 39 54 43 
11:55:13.547 > 2,50,0,0,0,0,53 59 80 03 00 01 02 32 54 43 
11:55:14.519 > 3,51,0,0,0,0,53 59 80 03 00 01 03 33 54 43 
11:55:15.512 > 27,75,0,0,0,0,53 59 80 03 00 01 1B 4B 54 43 
11:55:16.505 > 21,69,0,0,0,0,53 59 80 03 00 01 15 45 54 43 
11:55:17.508 > 39,87,0,0,0,0,53 59 80 03 00 01 27 57 54 43 
11:55:18.493 > 58,106,0,0,0,0,53 59 80 03 00 01 3A 6A 54 43 
11:55:19.486 > 15,63,0,0,0,0,53 59 80 03 00 01 0F 3F 54 43 
11:55:20.480 > 85,133,0,0,0,0,53 59 80 03 00 01 55 85 54 43 
11:55:21.473 > 38,86,0,0,0,0,53 59 80 03 00 01 26 56 54 43 
11:55:22.487 > 81,129,0,0,0,0,53 59 80 03 00 01 51 81 54 43 
11:55:23.460 > 14,62,0,0,0,0,53 59 80 03 00 01 0E 3E 54 43 
11:55:24.453 > 32,80,0,0,0,0,53 59 80 03 00 01 20 50 54 43 
11:55:25.447 > 37,85,0,0,0,0,53 59 80 03 00 01 25 55 54 43 
11:55:26.446 > 2,50,0,0,0,0,53 59 80 03 00 01 02 32 54 43 
11:55:27.434 > 2,50,0,0,0,0,53 59 80 03 00 01 02 32 54 43 
11:55:28.428 > 2,50,0,0,0,0,53 59 80 03 00 01 02 32 54 43 
11:55:28.527 > 1,48,0,0,0,0,53 59 80 02 00 01 01 30 54 43 
11:55:29.421 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:55:30.414 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:55:31.425 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:55:32.401 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:55:33.394 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:55:34.388 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:55:35.385 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:55:36.375 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:55:37.368 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:55:38.362 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:55:39.355 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:55:40.364 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:55:41.343 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:55:42.336 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:55:43.329 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:55:44.324 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:55:45.317 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:55:46.310 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:55:47.304 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:55:48.298 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:55:49.303 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:55:49.416 > 1,49,0,0,0,0,53 59 01 01 00 01 0F BE 54 43 
11:55:50.284 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:55:51.277 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:55:52.271 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:55:53.264 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:55:54.282 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:55:55.252 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:55:56.245 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:55:57.238 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:55:58.241 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:55:59.225 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:56:00.219 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:56:01.212 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:56:02.206 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:56:03.220 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:56:04.193 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:56:05.187 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:56:06.181 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:56:07.180 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:56:08.167 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:56:09.161 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:56:10.154 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:56:11.148 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:56:12.160 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:56:13.135 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:56:14.128 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:56:15.122 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:56:16.120 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:56:17.108 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
