11:11:41.496 > ets Jul 29 2019 12:21:46
11:11:41.497 > 
11:11:41.497 > rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)
11:11:41.502 > configsip: 0, SPIWP:0xee
11:11:41.504 > clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00
11:11:41.510 > mode:DIO, clock div:2
11:11:41.512 > load:0x3fff0030,len:1184
11:11:41.514 > load:0x40078000,len:13232
11:11:41.518 > load:0x40080400,len:3028
11:11:41.519 > entry 0x400805e4
11:11:42.658 > Presence,Fall_State,Distance_dm,Raw_Hex
11:12:54.562 > 20,68,0,53 59 80 03 00 01 14 44 54 43 
11:12:55.558 > 89,137,0,53 59 80 03 00 01 59 89 54 43 
11:12:56.551 > 100,148,0,53 59 80 03 00 01 64 94 54 43 
11:12:57.545 > 100,148,0,53 59 80 03 00 01 64 94 54 43 
11:12:58.559 > 2,50,0,53 59 80 03 00 01 02 32 54 43 
11:12:59.532 > 2,50,0,53 59 80 03 00 01 02 32 54 43 
11:13:00.526 > 2,50,0,53 59 80 03 00 01 02 32 54 43 
11:13:01.520 > 2,50,0,53 59 80 03 00 01 02 32 54 43 
11:13:02.116 > 1,48,0,53 59 80 02 00 01 01 30 54 43 
11:13:02.519 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:13:03.507 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:13:03.607 > 2,49,0,53 59 80 02 00 01 02 31 54 43 
11:13:03.705 > 2,49,0,53 59 01 01 00 01 0F BE 54 43 
11:13:04.501 > 2,50,0,53 59 80 03 00 01 02 32 54 43 
11:13:05.496 > 100,148,0,53 59 80 03 00 01 64 94 54 43 
11:13:06.488 > 100,148,0,53 59 80 03 00 01 64 94 54 43 
11:13:07.498 > 25,73,0,53 59 80 03 00 01 19 49 54 43 
11:13:08.476 > 26,74,0,53 59 80 03 00 01 1A 4A 54 43 
11:13:09.470 > 25,73,0,53 59 80 03 00 01 19 49 54 43 
11:13:10.463 > 84,132,0,53 59 80 03 00 01 54 84 54 43 
11:13:11.458 > 38,86,0,53 59 80 03 00 01 26 56 54 43 
11:13:12.451 > 88,136,0,53 59 80 03 00 01 58 88 54 43 
11:13:13.443 > 100,148,0,53 59 80 03 00 01 64 94 54 43 
11:13:14.438 > 21,69,0,53 59 80 03 00 01 15 45 54 43 
11:13:15.431 > 7,55,0,53 59 80 03 00 01 07 37 54 43 
11:13:16.438 > 61,109,0,53 59 80 03 00 01 3D 6D 54 43 
11:13:17.418 > 47,95,0,53 59 80 03 00 01 2F 5F 54 43 
11:13:18.412 > 2,50,0,53 59 80 03 00 01 02 32 54 43 
11:13:19.406 > 2,50,0,53 59 80 03 00 01 02 32 54 43 
11:13:20.399 > 2,50,0,53 59 80 03 00 01 02 32 54 43 
11:13:21.392 > 46,94,0,53 59 80 03 00 01 2E 5E 54 43 
11:13:22.386 > 100,148,0,53 59 80 03 00 01 64 94 54 43 
11:13:23.380 > 100,148,0,53 59 80 03 00 01 64 94 54 43 
11:13:24.373 > 2,50,0,53 59 80 03 00 01 02 32 54 43 
11:13:25.376 > 2,50,0,53 59 80 03 00 01 02 32 54 43 
11:13:26.360 > 2,50,0,53 59 80 03 00 01 02 32 54 43 
11:13:26.758 > 1,48,0,53 59 80 02 00 01 01 30 54 43 
11:13:27.354 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:13:28.346 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:13:29.340 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:13:30.354 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:13:31.327 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:13:32.321 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:13:33.314 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:13:34.315 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:13:35.301 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:13:36.296 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:13:37.288 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:13:38.282 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:13:39.295 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:13:40.268 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:13:41.262 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:13:42.255 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:13:43.254 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:13:44.242 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:13:45.235 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:13:46.229 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:13:47.222 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:13:48.233 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:13:49.209 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:13:50.203 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:13:51.197 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:13:52.194 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:13:53.183 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:13:54.176 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:13:55.171 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:13:56.164 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:13:57.173 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:13:58.151 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:13:59.144 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:14:00.138 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:14:01.133 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:14:02.125 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:14:03.119 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:14:03.240 > 1,49,0,53 59 01 01 00 01 0F BE 54 43 
11:14:04.112 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:14:05.105 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:14:06.112 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:14:07.092 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:14:08.085 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:14:09.078 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:14:10.073 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:14:11.065 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:14:12.060 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:14:13.052 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:14:14.046 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:14:15.052 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:14:16.033 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:14:17.026 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:14:18.020 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:14:19.013 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:14:20.006 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:14:21.000 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:14:21.993 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:14:22.986 > ����������������������������������������������������������������,49,0,53 59 80 03 00 01 01 31 54 43 
11:14:23.284 > 1,49,0,53 59 83 01 00 01 01 32 54 43 
11:14:23.990 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:14:24.974 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:14:25.967 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
11:14:26.961 > 2,49,0,53 59 80 02 00 01 02 31 54 43 
11:14:27.059 > 100,148,0,53 59 80 03 00 01 64 94 54 43 
11:14:27.954 > 100,148,0,53 59 80 03 00 01 64 94 54 43 
11:14:28.405 > 100,148,0,53 59 83 01 00 01 00 31 54 43 
11:14:28.947 > 100,148,0,53 59 80 03 00 01 64 94 54 43 
11:14:29.940 > 26,74,0,53 59 80 03 00 01 1A 4A 54 43 
11:14:30.933 > 75,123,0,53 59 80 03 00 01 4B 7B 54 43 
11:14:31.927 > 45,93,0,53 59 80 03 00 01 2D 5D 54 43 
11:14:32.930 > 100,148,0,53 59 80 03 00 01 64 94 54 43 
11:14:33.913 > 100,148,0,53 59 80 03 00 01 64 94 54 43 
