13:56:16.007 > ets Jul 29 2019 12:21:46
13:56:16.007 > 
13:56:16.007 > rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)
13:56:16.015 > configsip: 0, SPIWP:0xee
13:56:16.017 > clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00
13:56:16.022 > mode:DIO, clock div:2
13:56:16.025 > load:0x3fff0030,len:1184
13:56:16.028 > load:0x40078000,len:13232
13:56:16.030 > load:0x40080400,len:3028
13:56:16.033 > entry 0x400805e4
13:56:17.172 > Presence,Fall_State,Distance_dm,Intensity,Breath_Rate,Heart_Rate,Raw_Hex
13:56:17.172 > 32,80,0,0,0,0,53 59 80 03 00 01 20 50 54 43 
13:56:17.814 > 24,72,0,0,0,0,53 59 80 03 00 01 18 48 54 43 
13:56:18.801 > 4,52,0,0,0,0,53 59 80 03 00 01 04 34 54 43 
13:56:19.781 > 2,50,0,0,0,0,53 59 80 03 00 01 02 32 54 43 
13:56:20.786 > 5,53,0,0,0,0,53 59 80 03 00 01 05 35 54 43 
13:56:21.786 > 6,54,0,0,0,0,53 59 80 03 00 01 06 36 54 43 
13:56:22.770 > 2,50,0,0,0,0,53 59 80 03 00 01 02 32 54 43 
13:56:23.766 > 2,50,0,0,0,0,53 59 80 03 00 01 02 32 54 43 
13:56:24.761 > 5,53,0,0,0,0,53 59 80 03 00 01 05 35 54 43 
13:56:25.753 > 10,58,0,0,0,0,53 59 80 03 00 01 0A 3A 54 43 
13:56:26.767 > 2,50,0,0,0,0,53 59 80 03 00 01 02 32 54 43 
13:56:27.733 > 2,50,0,0,0,0,53 59 80 03 00 01 02 32 54 43 
13:56:28.736 > 2,50,0,0,0,0,53 59 80 03 00 01 02 32 54 43 
13:56:29.731 > 12,60,0,0,0,0,53 59 80 03 00 01 0C 3C 54 43 
13:56:30.716 > 79,127,0,0,0,0,53 59 80 03 00 01 4F 7F 54 43 
13:56:31.716 > 2,50,0,0,0,0,53 59 80 03 00 01 02 32 54 43 
13:56:32.709 > 100,148,0,0,0,0,53 59 80 03 00 01 64 94 54 43 
13:56:33.700 > 59,107,0,0,0,0,53 59 80 03 00 01 3B 6B 54 43 
13:56:34.683 > 33,81,0,0,0,0,53 59 80 03 00 01 21 51 54 43 
13:56:35.700 > 42,90,0,0,0,0,53 59 80 03 00 01 2A 5A 54 43 
13:56:36.683 > 63,111,0,0,0,0,53 59 80 03 00 01 3F 6F 54 43 
13:56:37.666 > 100,148,0,0,0,0,53 59 80 03 00 01 64 94 54 43 
13:56:37.798 > 100,148,0,0,0,0,53 59 01 01 00 01 0F BE 54 43 
13:56:38.665 > 100,148,0,0,0,0,53 59 80 03 00 01 64 94 54 43 
13:56:39.666 > 2,50,0,0,0,0,53 59 80 03 00 01 02 32 54 43 
13:56:40.649 > 2,50,0,0,0,0,53 59 80 03 00 01 02 32 54 43 
13:56:41.648 > 71,119,0,0,0,0,53 59 80 03 00 01 47 77 54 43 
13:56:42.633 > 2,50,0,0,0,0,53 59 80 03 00 01 02 32 54 43 
13:56:43.632 > 2,50,0,0,0,0,53 59 80 03 00 01 02 32 54 43 
13:56:44.632 > 2,50,0,0,0,0,53 59 80 03 00 01 02 32 54 43 
13:56:45.616 > 6,54,0,0,0,0,53 59 80 03 00 01 06 36 54 43 
13:56:46.617 > 11,59,0,0,0,0,53 59 80 03 00 01 0B 3B 54 43 
13:56:47.609 > 71,119,0,0,0,0,53 59 80 03 00 01 47 77 54 43 
13:56:48.599 > 4,52,0,0,0,0,53 59 80 03 00 01 04 34 54 43 
13:56:49.598 > 6,54,0,0,0,0,53 59 80 03 00 01 06 36 54 43 
13:56:50.582 > 2,50,0,0,0,0,53 59 80 03 00 01 02 32 54 43 
13:56:51.581 > 2,50,0,0,0,0,53 59 80 03 00 01 02 32 54 43 
13:56:52.566 > 7,55,0,0,0,0,53 59 80 03 00 01 07 37 54 43 
13:56:53.582 > 8,56,0,0,0,0,53 59 80 03 00 01 08 38 54 43 
13:56:54.564 > 22,70,0,0,0,0,53 59 80 03 00 01 16 46 54 43 
13:56:55.549 > 21,69,0,0,0,0,53 59 80 03 00 01 15 45 54 43 
13:56:56.549 > 14,62,0,0,0,0,53 59 80 03 00 01 0E 3E 54 43 
13:56:57.532 > 2,50,0,0,0,0,53 59 80 03 00 01 02 32 54 43 
13:56:58.532 > 2,50,0,0,0,0,53 59 80 03 00 01 02 32 54 43 
13:56:59.532 > 2,50,0,0,0,0,53 59 80 03 00 01 02 32 54 43 
13:57:00.516 > 2,50,0,0,0,0,53 59 80 03 00 01 02 32 54 43 
13:57:01.515 > 2,50,0,0,0,0,53 59 80 03 00 01 02 32 54 43 
13:57:02.515 > 2,50,0,0,0,0,53 59 80 03 00 01 02 32 54 43 
13:57:03.499 > 19,67,0,0,0,0,53 59 80 03 00 01 13 43 54 43 
13:57:04.497 > 3,51,0,0,0,0,53 59 80 03 00 01 03 33 54 43 
13:57:05.482 > 32,80,0,0,0,0,53 59 80 03 00 01 20 50 54 43 
13:57:06.480 > 2,50,0,0,0,0,53 59 80 03 00 01 02 32 54 43 
13:57:07.497 > 7,55,0,0,0,0,53 59 80 03 00 01 07 37 54 43 
13:57:08.466 > 4,52,0,0,0,0,53 59 80 03 00 01 04 34 54 43 
13:57:09.466 > 31,79,0,0,0,0,53 59 80 03 00 01 1F 4F 54 43 
13:57:10.455 > 18,66,0,0,0,0,53 59 80 03 00 01 12 42 54 43 
13:57:11.458 > 18,66,0,0,0,0,53 59 80 03 00 01 12 42 54 43 
13:57:12.434 > 94,142,0,0,0,0,53 59 80 03 00 01 5E 8E 54 43 
13:57:13.433 > 22,70,0,0,0,0,53 59 80 03 00 01 16 46 54 43 
13:57:14.431 > 2,50,0,0,0,0,53 59 80 03 00 01 02 32 54 43 
13:57:15.415 > 100,148,0,0,0,0,53 59 80 03 00 01 64 94 54 43 
13:57:16.437 > 100,148,0,0,0,0,53 59 80 03 00 01 64 94 54 43 
13:57:17.411 > 100,148,0,0,0,0,53 59 80 03 00 01 64 94 54 43 
13:57:18.398 > 98,146,0,0,0,0,53 59 80 03 00 01 62 92 54 43 
13:57:19.398 > 2,50,0,0,0,0,53 59 80 03 00 01 02 32 54 43 
13:57:20.398 > 8,56,0,0,0,0,53 59 80 03 00 01 08 38 54 43 
13:57:21.382 > 66,114,0,0,0,0,53 59 80 03 00 01 42 72 54 43 
13:57:22.380 > 29,77,0,0,0,0,53 59 80 03 00 01 1D 4D 54 43 
13:57:23.365 > 20,68,0,0,0,0,53 59 80 03 00 01 14 44 54 43 
13:57:24.365 > 45,93,0,0,0,0,53 59 80 03 00 01 2D 5D 54 43 
13:57:25.365 > 70,118,0,0,0,0,53 59 80 03 00 01 46 76 54 43 
